ID,CONTEXT,SHAPE_OBJECT,SHAPE_DETAILS,WARE,PRODUCTION_PLACE,CONSERVATION,CHRONOLOGY,Context_Survey_Homogenized
2286,T12-100,Amphora,handle root,black glaze,Local,Medium,Archaic,T12-100
2287,T12-100,Amphora,handle,plain,Import,Poor,Undetermined,T12-100
2288,T12-100,Closed shape,base,black glaze,Local,Poor,Archaic/Classical,T12-100
2289,T12-100,Basin,rim,plain,Corinthian,Medium,Undetermined,T12-100
2290,T12-100,Undetermined,rim,plain,Local,Poor,Undetermined,T12-100
2291,T12-100,Tile,edge,black glaze,Local,Poor,Archaic/Classical,T12-100
2292,T12-100,Amphora,handle root,plain,Import,Poor,Undetermined,T12-100
2293,T12-100,Tile,wall,red glazed,Local,Medium,Archaic/Classical,T12-100
2294,T12-100,Cooking pot,rim,cooking,Import,Medium,Undetermined,T12-100
2295,T12-100,Bowl,base,black glaze,Local,Poor,Archaic/Classical,T12-100
2296,T12-100,Amphora,handle root,plain,Import,Medium,Undetermined,T12-100
2297,T12-100,Cooking pot,rim + handle,cooking,Import,Poor,Undetermined,T12-100
2298,T12-100,Lekane,handle,plain,Local,Poor,Undetermined,T12-100
2299,T12-100,Tile,wall,red glazed,Import,Medium,Archaic/Classical,T12-100
2300,T12-100,Lekane,rim,black glaze,Local,Poor,Archaic/Classical,T12-100
2301,T12-100,Pithos,wall,coarse,Import,Medium,Undetermined,T12-100
2302,T12-100,Lekane,rim,plain,Local,Poor,Undetermined,T12-100
2303,T12-100,Bowl,rim,red glazed,Local,Poor,Archaic/Classical,T12-100
2304,T12-100,Closed shape,base,plain,Local,Very poor,Undetermined,T12-100
2305,T12-100,Kantharos,rim,black glaze,Local,Poor,Archaic/Classical,T12-100
2306,T12-100,Amphora,handle,plain,Import,Poor,Undetermined,T12-100
2307,T12-100,Bowl,rim,plain,Local,Very poor,Undetermined,T12-100
2308,T12-100,Amphora,shoulder,plain,Import,Poor,Archaic/Classical,T12-100
2309,T12-100,Amphora,base,plain,Lesbian,Medium,Classical,T12-100
2310,T12-100,Tile,wall,plain,Import,Medium,Undetermined,T12-100
2311,T12-100,Open shape,base,plain,Local,Very poor,Undetermined,T12-100
2312,T12-100,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-100
2313,T12-100,Pithos,wall,coarse,Import,Poor,Undetermined,T12-100
2314,T12-100,Amphora,wall,black glaze,Import,Poor,Archaic/Classical,T12-100
2315,T12-100,Amphora,wall,plain,Import,Medium,Undetermined,T12-100
2316,T12-100,Basin,wall,plain,Import,Poor,Undetermined,T12-100
2317,T12-100,Closed shape,wall,plain,Import,Poor,Undetermined,T12-100
2318,T12-100,Amphora,wall,plain,Import,Poor,Undetermined,T12-100
2319,T12-100,Amphora,wall,plain,Local,Medium,Undetermined,T12-100
2320,T12-100,Closed shape,wall,plain,Local,Poor,Undetermined,T12-100
2321,T12-100,Undetermined,wall,plain,Local,Very poor,Undetermined,T12-100
2322,T12-100,Undetermined,wall,plain,Import,Very poor,Undetermined,T12-100
2323,T12-100,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-100
2324,T12-100,Closed shape,wall,cooking,Import,Medium,Undetermined,T12-100
2325,T12-100,Tile,wall,plain,Import,Medium,Undetermined,T12-100
2326,T12-100,Tile,wall,plain,Local,Poor,Undetermined,T12-100
2327,T12-100,Tile,wall,red glazed,Local,Medium,Archaic/Classical,T12-100
2328,T12-100,Jug,neck,red glazed,Local,Medium,Archaic/Classical,T12-100
2329,T12-100,Open shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-100
2330,T12-100,Closed shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-100
3857,T12-101-5,Amphora,handle,plain,Import,Medium,Hellenistic,T12-101
3858,T12-101-5,Pithos,base,coarse,Import,Poor,Undetermined,T12-101
3859,T12-101-5,Louterion,rim,coarse,Import,Medium,Undetermined,T12-101
3860,T12-101-5,Cup,handle,black glaze,Local,Medium,Archaic/Classical,T12-101
3861,T12-101-5,Tile,wall,red glazed,Local,Medium,Archaic/Classical,T12-101
3862,T12-101-5,Pithos,wall,coarse,Import,Poor,Undetermined,T12-101
3863,T12-101-5,Beehive,wall,plain,Import,Poor,Undetermined,T12-101
3864,T12-101-5,Undetermined,wall,plain,Local,Very poor,Undetermined,T12-101
3865,T12-101-5,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-101
3866,T12-101-5,Open shape,wall,plain,Local,Poor,Undetermined,T12-101
3867,T12-101-5,Amphora,wall,plain,Import,Very poor,Undetermined,T12-101
3868,T12-101-5,Tile,wall,plain,Local,Very poor,Undetermined,T12-101
18965,T12-101-5,Drinking vessel,base,black glaze,Attic,Poor,Archaic/Classical,T12-101
18966,T12-101-5,Tile,edge,brown glaze,Local,Medium,Archaic/Classical,T12-101
18967,T12-101-5,Amphora,rim,plain,Local,Poor,Classical,T12-101
18968,T12-101-5,Closed shape,wall,plain,Import,Medium,Late antique,T12-101
18969,T12-101-5,Tile,wall,plain,Local,Poor,Archaic/Classical,T12-101
18970,T12-101-5,Cooking pot,wall,cooking,Import,Medium,Archaic/Classical,T12-101
18971,T12-101-5,Amphora,wall,plain,Import,Medium,Archaic/Classical,T12-101
18972,T12-101-5,Undetermined,wall,plain,Local,Poor,Archaic/Classical,T12-101
18973,T12-101-5,Closed shape,wall,black glaze,Attic,Poor,Archaic/Classical,T12-101
18974,T12-101-5,Closed shape,wall,brown glaze,Local,Poor,Archaic/Classical,T12-101
18975,T12-101-5,Open shape,wall,black glaze,Attic,Poor,Archaic/Classical,T12-101
20681,T12-101-5,Undetermined,spout,plain,Local,Poor,Archaic/Classical,T12-101
20682,T12-101-5,Amphora,wall,plain,Local,Poor,Archaic/Classical,T12-101
20683,T12-101-5,Amphora,wall,plain,Local,Medium,Archaic/Classical,T12-101
20684,T12-101-5,Amphora,wall,plain,Import,Poor,Archaic/Classical,T12-101
20685,T12-101-5,Amphora,wall,plain,Local,Poor,Archaic/Classical,T12-101
20686,T12-101-5,Pithos,wall,coarse,Local,Poor,Archaic/Classical,T12-101
20687,T12-101-5,Amphora,wall,plain,Local,Poor,Late antique,T12-101
20688,T12-101-5,Undetermined,wall,plain,Local,Poor,Archaic/Classical,T12-101
21995,T12-101-5,Tile,edge,black glaze,Attic,Medium,Archaic/Classical,T12-101
21996,T12-101-5,Amphora,handle,plain,Attic,Medium,Undetermined,T12-101
21997,T12-101-5,Mortar,rim,coarse,Attic,Medium,Archaic/Classical,T12-101
21998,T12-101-5,Tile,edge,plain,Attic,Poor,Archaic/Classical,T12-101
21999,T12-101-5,Amphora,wall,plain,Attic,Poor,Roman,T12-101
22000,T12-101-5,Tile,wall,plain,Attic,Poor,Archaic/Classical,T12-101
22001,T12-101-5,Undetermined,wall,plain,Attic,Poor,Archaic/Classical,T12-101
22002,T12-101-5,Undetermined,wall,cooking,Attic,Poor,Archaic/Classical,T12-101
22003,T12-101-5,Undetermined,wall,plain,Attic,Poor,Archaic/Classical,T12-101
2450,T12-101-1,Lekane,base,red glazed,Local,Medium,Archaic/Classical,T12-101-1
2451,T12-101-1,Basin,rim,plain,Local,Poor,Undetermined,T12-101-1
2452,T12-101-1,Closed shape,handle,cooking,Import,Poor,Undetermined,T12-101-1
2453,T12-101-1,Basin,rim,plain,Import,Poor,Undetermined,T12-101-1
2454,T12-101-1,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-1
2455,T12-101-1,Amphora,handle,plain,Local,Poor,Undetermined,T12-101-1
2456,T12-101-1,Amphora,handle,plain,Import,Very poor,Undetermined,T12-101-1
2457,T12-101-1,Tile,edge,plain,Import,Poor,Undetermined,T12-101-1
2458,T12-101-1,Closed shape,lid rest,plain,Local,Very poor,Undetermined,T12-101-1
2459,T12-101-1,Amphora,handle,plain,Import,Very poor,Undetermined,T12-101-1
2460,T12-101-1,Closed shape,wall,cooking,Import,Very poor,Undetermined,T12-101-1
2461,T12-101-1,Open shape,wall,red glazed,Local,Poor,Archaic/Classical,T12-101-1
2462,T12-101-1,Open shape,wall,black glaze,Local,Poor,Archaic/Classical,T12-101-1
2463,T12-101-1,Open shape,wall,plain,Import,Poor,Undetermined,T12-101-1
2464,T12-101-1,Amphora,wall,plain,Import,Poor,Undetermined,T12-101-1
2465,T12-101-1,Closed shape,wall,plain,Import,Poor,Undetermined,T12-101-1
2466,T12-101-1,Undetermined,wall,plain,Import,Very poor,Undetermined,T12-101-1
2467,T12-101-1,Amphora,wall,plain,Local,Poor,Undetermined,T12-101-1
2468,T12-101-1,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-1
2469,T12-101-1,Undetermined,wall,plain,Local,Very poor,Undetermined,T12-101-1
2470,T12-101-1,Tile,wall,brown glaze,Local,Poor,Archaic/Classical,T12-101-1
2471,T12-101-1,Tile,wall,plain,Import,Poor,Undetermined,T12-101-1
19940,T12-101-1,Stone,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,T12-101-1
19941,T12-101-1,Table amphora,rim,plain,Local,Poor,Archaic/Classical,T12-101-1
19942,T12-101-1,Jug,rim,plain,Local,Poor,Late antique,T12-101-1
19943,T12-101-1,Lekane,rim,red glazed,Local,Medium,Archaic/Classical,T12-101-1
19944,T12-101-1,Aryballos,base,black glaze,Corinthian,Medium,Archaic/Classical,T12-101-1
19945,T12-101-1,Jug,handle,plain,Local,Poor,Archaic/Classical,T12-101-1
19946,T12-101-1,Lekane,handle root,plain,Local,Poor,Archaic/Classical,T12-101-1
19947,T12-101-1,Undetermined,wall,coarse,Import,Poor,Archaic,T12-101-1
19948,T12-101-1,Undetermined,Undetermined,plain,Local,Poor,Archaic/Classical,T12-101-1
19949,T12-101-1,Tile,wall,plain,Local,Poor,Archaic/Classical,T12-101-1
19950,T12-101-1,Tile,edge,plain,Local,Poor,Archaic/Classical,T12-101-1
19951,T12-101-1,Undetermined,wall,plain,Local,Poor,Archaic/Classical,T12-101-1
19952,T12-101-1,Closed shape,wall,plain,Local,Medium,Archaic/Classical,T12-101-1
19953,T12-101-1,Undetermined,wall,cooking,Import,Poor,Archaic/Classical,T12-101-1
19954,T12-101-1,Undetermined,wall,plain,Local,Poor,Archaic/Classical,T12-101-1
20689,T12-101-1,Undetermined,rim,cooking,Local,Medium,Archaic/Classical,T12-101-1
20690,T12-101-1,Open shape,wall,cooking,Local,Poor,Archaic/Classical,T12-101-1
20691,T12-101-1,Undetermined,wall,coarse,Local,Poor,Prehistoric,T12-101-1
20692,T12-101-1,Tile,wall,plain,Local,Poor,Archaic/Classical,T12-101-1
20693,T12-101-1,Tile,wall,plain,Local,Poor,Archaic/Classical,T12-101-1
20694,T12-101-1,Amphora,neck to shoulder,plain,Import,Poor,Archaic/Classical,T12-101-1
20695,T12-101-1,Amphora,wall,plain,Local,Poor,Archaic/Classical,T12-101-1
20696,T12-101-1,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,T12-101-1
20697,T12-101-1,Undetermined,wall,plain,Local,Poor,Archaic/Classical,T12-101-1
20698,T12-101-1,Open shape,wall,black glaze,Local,Poor,Archaic/Classical,T12-101-1
20699,T12-101-1,Open shape,wall,black glaze,Local,Poor,Archaic/Classical,T12-101-1
20700,T12-101-1,Closed shape,wall,brown glaze,Local,Poor,Archaic/Classical,T12-101-1
22890,T12-101-1,Jug,handle,plain,Local,Poor,Archaic/Classical,T12-101-1
22891,T12-101-1,Closed shape,wall,painted,Local,Medium,Early iron Age/Archaic,T12-101-1
22892,T12-101-1,Closed shape,wall,glazed,Local,Poor,Early iron Age/Archaic,T12-101-1
22893,T12-101-1,Cup,foot,black glaze,Local,Poor,Archaic/Classical,T12-101-1
22894,T12-101-1,Amphora,neck,plain,Attic,Medium,Archaic/Classical,T12-101-1
22895,T12-101-1,Tile,Undetermined,painted,Attic,Poor,Archaic,T12-101-1
22896,T12-101-1,Tile,Undetermined,plain,Local,Poor,Archaic/Classical,T12-101-1
22897,T12-101-1,Undetermined,wall,plain,Local,Poor,Archaic/Classical,T12-101-1
22898,T12-101-1,Undetermined,wall,plain,Attic,Poor,Archaic/Classical,T12-101-1
22899,T12-101-1,Stone,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,T12-101-1
2364,T12-101-2,Pithos,rim,coarse,Import,Medium,Undetermined,T12-101-2
2365,T12-101-2,Tile,edge,red glazed,Local,Medium,Archaic/Classical,T12-101-2
2366,T12-101-2,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-2
2367,T12-101-2,Closed shape,base,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2368,T12-101-2,Tile,wall,red slipped,Local,Medium,Undetermined,T12-101-2
2369,T12-101-2,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-2
2370,T12-101-2,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-2
2371,T12-101-2,Open shape,handle,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2372,T12-101-2,Basin,rim,cooking,Import,Medium,Undetermined,T12-101-2
2373,T12-101-2,Chytra,base,cooking,Import,Medium,Undetermined,T12-101-2
2374,T12-101-2,Closed shape,handle,cooking,Import,Medium,Undetermined,T12-101-2
2375,T12-101-2,Chytra,rim,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2376,T12-101-2,Cup,wall,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2377,T12-101-2,Juglet,handle,plain,Local,Medium,Undetermined,T12-101-2
2378,T12-101-2,Jug,rim,plain,Import,Medium,Undetermined,T12-101-2
2379,T12-101-2,Chytra,rim,cooking,Import,Poor,Undetermined,T12-101-2
2380,T12-101-2,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-2
2381,T12-101-2,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-2
2382,T12-101-2,Closed shape,wall,red glazed,Import,Medium,Archaic/Classical,T12-101-2
2383,T12-101-2,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-101-2
2384,T12-101-2,Closed shape,wall,plain,Import,Poor,Undetermined,T12-101-2
2385,T12-101-2,Amphora,wall,plain,Local,Poor,Undetermined,T12-101-2
2386,T12-101-2,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-2
2387,T12-101-2,Undetermined,wall,plain,Corinthian,Poor,Undetermined,T12-101-2
2388,T12-101-2,Undetermined,wall,plain,Local,Poor,Undetermined,T12-101-2
2389,T12-101-2,Tile,wall,plain,Local,Poor,Undetermined,T12-101-2
2390,T12-101-2,Tile,wall,plain,Import,Poor,Undetermined,T12-101-2
2391,T12-101-2,Open shape,wall,black glaze,Local,Poor,Archaic/Classical,T12-101-2
2392,T12-101-2,Open shape,wall,red glazed,Local,Poor,Archaic/Classical,T12-101-2
2393,T12-101-2,Lekane,wall,red glazed,Local,Poor,Archaic/Classical,T12-101-2
2394,T12-101-2,Louterion,carination,coarse,Import,Medium,Undetermined,T12-101-2
2395,T12-101-2,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-2
2396,T12-101-2,Amphora,rim,plain,Corfu-Butrint Area,Medium,Classical,T12-101-2
2397,T12-101-2,Lekane,rim,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2398,T12-101-2,Chytra,handle,cooking,Import,Medium,Undetermined,T12-101-2
2399,T12-101-2,Jug,rim,plain,Local,Medium,Undetermined,T12-101-2
2400,T12-101-2,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-2
2401,T12-101-2,Amphora,handle,plain,Local,Medium,Undetermined,T12-101-2
2402,T12-101-2,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-2
2403,T12-101-2,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-2
2404,T12-101-2,Cooking pot,wall,cooking,Import,Poor,Undetermined,T12-101-2
2405,T12-101-2,Lekane,handle,plain,Local,Poor,Undetermined,T12-101-2
2406,T12-101-2,Closed shape,wall,black glaze,Local,Poor,Archaic/Classical,T12-101-2
2407,T12-101-2,Undetermined,wall,plain,Local,Poor,Undetermined,T12-101-2
2408,T12-101-2,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-2
2409,T12-101-2,Closed shape,wall,plain,Import,Poor,Undetermined,T12-101-2
2410,T12-101-2,Amphora,wall,plain,Local,Poor,Undetermined,T12-101-2
2411,T12-101-2,Tile,wall,plain,Import,Poor,Undetermined,T12-101-2
2412,T12-101-2,Tile,wall,plain,Local,Poor,Undetermined,T12-101-2
2413,T12-101-2,Amphora,rim + handle,plain,Chian,Medium,Archaic/Classical,T12-101-2
2414,T12-101-2,Lekane,rim,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2415,T12-101-2,Closed shape,rim,plain,Import,Medium,Late Antique,T12-101-2
2416,T12-101-2,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-2
2417,T12-101-2,Amphora,handle,plain,Local,Medium,Undetermined,T12-101-2
2418,T12-101-2,Jug,handle,plain,Local,Medium,Undetermined,T12-101-2
2419,T12-101-2,Tile,wall,red glazed,Local,Medium,Archaic/Classical,T12-101-2
2420,T12-101-2,Amphora,wall,plain,Local,Medium,Undetermined,T12-101-2
2421,T12-101-2,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-2
2422,T12-101-2,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-2
2423,T12-101-2,Closed shape,wall,cooking,Import,Medium,Undetermined,T12-101-2
2424,T12-101-2,Closed shape,wall,cooking,Import,Medium,Undetermined,T12-101-2
2425,T12-101-2,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-2
2426,T12-101-2,Open shape,wall,plain,Local,Medium,Undetermined,T12-101-2
2427,T12-101-2,Closed shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2428,T12-101-2,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-2
2429,T12-101-2,Closed shape,wall,plain,Corinthian,Poor,Undetermined,T12-101-2
2430,T12-101-2,Undetermined,wall,plain,Local,Poor,Undetermined,T12-101-2
2431,T12-101-2,Undetermined,wall,plain,Import,Poor,Undetermined,T12-101-2
2432,T12-100,Grinding stone,Undetermined,Undetermined,Import,Medium,Undetermined,T12-101-2
2433,T12-101-2,Plate,rim,black glaze,Local,Good,Classical/Hellenistic,T12-101-2
2434,T12-101-2,Lekane,base,red glazed,Local,Poor,Archaic/Classical,T12-101-2
2435,T12-101-2,Amphora,rim,plain,Corfu-Butrint Area,Medium,Classical,T12-101-2
2436,T12-101-2,Skyphos,handle,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2437,T12-101-2,Lekane,wall,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2438,T12-101-2,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-2
2439,T12-101-2,Amphora,wall,plain,Import,Poor,Undetermined,T12-101-2
2440,T12-101-2,Amphora,wall,plain,Local,Medium,Undetermined,T12-101-2
2441,T12-101-2,Tile,wall,plain,Local,Poor,Undetermined,T12-101-2
2442,T12-101-2,Closed shape,wall,cooking,Import,Medium,Undetermined,T12-101-2
2443,T12-101-2,Closed shape,wall,plain,Import,Poor,Undetermined,T12-101-2
2444,T12-101-2,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-2
2445,T12-101-2,Undetermined,wall,plain,Local,Poor,Undetermined,T12-101-2
2446,T12-101-2,Closed shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2447,T12-101-2,Lekane,wall,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2448,T12-101-2,Open shape,wall,red glazed,Local,Medium,Archaic/Classical,T12-101-2
2449,T12-101-2,Open shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-101-2
2331,T12-101-3,Tile,edge,plain,Local,Medium,Undetermined,T12-101-3
2332,T12-101-3,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-3
2333,T12-101-3,Lekane,rim,black glaze,Local,Poor,Archaic/Classical,T12-101-3
2334,T12-101-3,Amphora,wall,plain,Local,Poor,Undetermined,T12-101-3
2335,T12-101-3,Tile,wall,plain,Local,Poor,Undetermined,T12-101-3
2336,T12-101-3,Tile,wall,plain,Import,Poor,Undetermined,T12-101-3
2337,T12-101-3,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-101-3
2338,T12-101-3,Chytra,rim + handle,cooking,Import,Medium,Late Antique,T12-101-3
2339,T12-101-3,Tile,edge,plain,Local,Medium,Undetermined,T12-101-3
2340,T12-101-3,Amphora,wall,plain,Import,Medium,Late Antique,T12-101-3
2341,T12-101-3,Amphora,wall,plain,Import,Medium,Late Antique,T12-101-3
2342,T12-101-3,Jug,handle,plain,Import,Medium,Late Antique,T12-101-3
2343,T12-101-3,Amphora,wall,plain,Import,Poor,Undetermined,T12-101-3
2344,T12-101-3,Lekane,handle,plain,Local,Poor,Undetermined,T12-101-3
2345,T12-101-3,Tile,wall,plain,Local,Poor,Undetermined,T12-101-3
2346,T12-101-3,Amphora,wall,plain,Local,Poor,Undetermined,T12-101-3
2347,T12-101-3,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-3
2348,T12-101-3,Basin,rim,plain,Import,Medium,Undetermined,T12-101-3
2349,T12-101-3,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-3
2350,T12-101-3,Basin,rim,plain,Import,Poor,Undetermined,T12-101-3
2351,T12-101-3,Amphora,handle,plain,Import,Poor,Undetermined,T12-101-3
2352,T12-101-3,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-3
2353,T12-101-3,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-3
2354,T12-101-3,Amphora,wall,plain,Local,Poor,Undetermined,T12-101-3
2355,T12-101-3,Closed shape,wall,plain,Import,Poor,Undetermined,T12-101-3
2356,T12-101-3,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-3
2357,T12-101-3,Undetermined,wall,plain,Local,Poor,Undetermined,T12-101-3
2358,T12-101-3,Tile,wall,plain,Local,Poor,Undetermined,T12-101-3
2359,T12-101-3,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-3
2360,T12-101-3,Amphora,wall,plain,Import,Poor,Undetermined,T12-101-3
2361,T12-101-3,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-3
2362,T12-101-3,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-101-3
2363,T12-101-3,Undetermined,wall,plain,Local,Poor,Undetermined,T12-101-3
2207,T12-101-4,Lekane,base,black glaze,Local,Poor,Archaic/Classical,T12-101-4
2208,T12-101-4,Tile,edge,plain,Local,Poor,Undetermined,T12-101-4
2209,T12-101-4,Lekane,rim,black glaze,Local,Poor,Archaic/Classical,T12-101-4
2210,T12-101-4,Loomweight,profile,plain,Local,Poor,Undetermined,T12-101-4
2211,T12-101-4,Jug,rim,plain,Local,Poor,Undetermined,T12-101-4
2212,T12-101-4,Pithos,wall,coarse,Import,Medium,Undetermined,T12-101-4
2213,T12-101-4,Pithos,wall,coarse,Local,Very poor,Undetermined,T12-101-4
2214,T12-101-4,Amphora,wall,plain,Local,Poor,Undetermined,T12-101-4
2215,T12-101-4,Amphora,wall,plain,Import,Poor,Undetermined,T12-101-4
2216,T12-101-4,Tile,wall,plain,Local,Poor,Undetermined,T12-101-4
2217,T12-101-4,Undetermined,wall,cooking,Import,Poor,Undetermined,T12-101-4
2218,T12-101-4,Undetermined,wall,plain,Local,Poor,Undetermined,T12-101-4
2219,T12-101-4,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-4
2220,T12-101-4,Tile,edge,plain,Local,Medium,Undetermined,T12-101-4
2221,T12-101-4,Lekane,base,black glaze,Local,Medium,Archaic/Classical,T12-101-4
2222,T12-101-4,Tile,edge,plain,Import,Medium,Undetermined,T12-101-4
2223,T12-101-4,Cooking pot,rim,cooking,Import,Medium,Undetermined,T12-101-4
2224,T12-101-4,Amphora,wall,plain,Import,Poor,Undetermined,T12-101-4
2225,T12-101-4,Closed shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-101-4
2226,T12-101-4,Open shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-101-4
2227,T12-101-4,Closed shape,wall,plain,Local,Medium,Undetermined,T12-101-4
2228,T12-101-4,Amphora,wall,plain,Import,Very poor,Undetermined,T12-101-4
2229,T12-101-4,Amphora,wall,plain,Local,Poor,Undetermined,T12-101-4
2230,T12-101-4,Undetermined,wall,plain,Local,Very poor,Undetermined,T12-101-4
2231,T12-101-4,Cooking pot,wall,smoothed,Import,Poor,Undetermined,T12-101-4
2232,T12-101-4,Basin,rim,coarse,Corinthian,Medium,Undetermined,T12-101-4
2233,T12-101-4,Tile,edge,red glazed,Local,Medium,Archaic/Classical,T12-101-4
2234,T12-101-4,Amphora,handle,plain,Import,Medium,Undetermined,T12-101-4
2235,T12-101-4,Closed shape,handle,plain,Local,Poor,Undetermined,T12-101-4
2236,T12-101-4,Jug,rim,plain,Local,Medium,Undetermined,T12-101-4
2237,T12-101-4,Jug,rim + handle,plain,Local,Poor,Undetermined,T12-101-4
2238,T12-101-4,Lekane,rim,plain,Local,Poor,Undetermined,T12-101-4
2239,T12-101-4,Open shape,rim,plain,Local,Poor,Undetermined,T12-101-4
2240,T12-101-4,Bowl,rim,red glazed,Local,Poor,Archaic/Classical,T12-101-4
2241,T12-101-4,Jug,base,cooking,Import,Poor,Undetermined,T12-101-4
2242,T12-101-4,Amphora,wall,plain,Import,Medium,Roman,T12-101-4
2243,T12-101-4,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-4
2244,T12-101-4,Amphora,wall,plain,Local,Medium,Undetermined,T12-101-4
2245,T12-101-4,Amphora,wall,plain,Import,Very poor,Undetermined,T12-101-4
2246,T12-101-4,Closed shape,wall,plain,Local,Poor,Undetermined,T12-101-4
2247,T12-101-4,Open shape,wall,plain,Local,Poor,Undetermined,T12-101-4
2248,T12-101-4,Closed shape,wall,black glaze,Local,Poor,Archaic/Classical,T12-101-4
2249,T12-101-4,Open shape,wall,black glaze,Local,Poor,Archaic/Classical,T12-101-4
2250,T12-101-4,Tile,wall,plain,Local,Poor,Undetermined,T12-101-4
2251,T12-101-4,Undetermined,wall,plain,Local,Poor,Undetermined,T12-101-4
2252,T12-101-4,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-101-4
2253,T12-101-4,Basin,base,plain,Local,Poor,Undetermined,T12-101-4
2254,T12-101-4,Basin,rim,plain,Import,Medium,Undetermined,T12-101-4
2255,T12-101-4,Basin,rim,coarse,Import,Poor,Undetermined,T12-101-4
2256,T12-101-4,Lekane,rim,black glaze,Local,Medium,Archaic/Classical,T12-101-4
2257,T12-101-4,Lekane,rim,plain,Local,Poor,Undetermined,T12-101-4
2258,T12-101-4,Lekane,handle,plain,Local,Poor,Undetermined,T12-101-4
2259,T12-101-4,Lekane,handle,plain,Local,Poor,Undetermined,T12-101-4
2260,T12-101-4,Lekane,handle,black glaze,Local,Poor,Archaic/Classical,T12-101-4
2261,T12-101-4,Amphora,rim,plain,Import,Poor,Undetermined,T12-101-4
2262,T12-101-4,Skyphos,rim + handle,black glaze,Local,Poor,Archaic/Classical,T12-101-4
2263,T12-101-4,Krater,handle,black glaze,Local,Poor,Archaic/Classical,T12-101-4
2264,T12-101-4,Tile,edge,plain,Local,Medium,Undetermined,T12-101-4
2265,T12-101-4,Tile,edge,red glazed,Local,Poor,Archaic/Classical,T12-101-4
2266,T12-101-4,Tile,edge,plain,Local,Poor,Undetermined,T12-101-4
2267,T12-101-4,Basin,rim,plain,Local,Poor,Undetermined,T12-101-4
2268,T12-101-4,Amphora,rim,plain,Import,Poor,Undetermined,T12-101-4
2269,T12-101-4,Closed shape,rim,cooking,Import,Poor,Undetermined,T12-101-4
2270,T12-101-4,Closed shape,base,cooking,Import,Poor,Undetermined,T12-101-4
2271,T12-101-4,Amphora,wall,plain,Import,Medium,Undetermined,T12-101-4
2272,T12-101-4,Pithos,wall,coarse,Import,Medium,Undetermined,T12-101-4
